sample_order,sample_id,dataset.code_ascii_txt,id.layer_uuid_txt,id.scan_local_c,scan.mir.model.name_utf8_txt,scan.mir.model.code_any_txt,scan.mir.method.preparation_any_txt,scan.mir.license.title_ascii_txt,scan.mir.license.address_idn_url,scan.mir.doi_idf_url,N,P,K
37,a54c94d278344e81ad0267025f57fa43,KSSL.SSL,a54c94d278344e81ad0267025f57fa43,155945XS,Bruker Vertex 70 with HTS-XT accessory,Bruker_Vertex_70.HTS.XT,XS: finely ground <80 mesh,CC-BY,https://ncsslabdatamart.sc.egov.usda.gov/datause.aspx,https://doi.org/10.2136/sssaj2019.06.0205,0.001,0.40792,0.0
38,8faafffca19a188f3f01a1a80045ee3e,KSSL.SSL,8faafffca19a188f3f01a1a80045ee3e,229639XS,Bruker Vertex 70 with HTS-XT accessory,Bruker_Vertex_70.HTS.XT,XS: finely ground <80 mesh,CC-BY,https://ncsslabdatamart.sc.egov.usda.gov/datause.aspx,https://doi.org/10.2136/sssaj2019.06.0205,0.03417,0.97178,0.63937
39,d0d71d3eccc407738b0ae371f32a31a0,KSSL.SSL,d0d71d3eccc407738b0ae371f32a31a0,269962XS,Bruker Vertex 70 with HTS-XT accessory,Bruker_Vertex_70.HTS.XT,XS: finely ground <80 mesh,CC-BY,https://ncsslabdatamart.sc.egov.usda.gov/datause.aspx,https://doi.org/10.2136/sssaj2019.06.0205,0.30446,11.57805,1.4833
40,528c525f69e9c41adb90f71d886f5cbd,KSSL.SSL,528c525f69e9c41adb90f71d886f5cbd,161655XS,Bruker Vertex 70 with HTS-XT accessory,Bruker_Vertex_70.HTS.XT,XS: finely ground <80 mesh,CC-BY,https://ncsslabdatamart.sc.egov.usda.gov/datause.aspx,https://doi.org/10.2136/sssaj2019.06.0205,0.07094,6.53359,0.09732
41,3ca44ead31d5008f64e0eaa2fb229b3b,KSSL.SSL,3ca44ead31d5008f64e0eaa2fb229b3b,263387XS,Bruker Vertex 70 with HTS-XT accessory,Bruker_Vertex_70.HTS.XT,XS: finely ground <80 mesh,CC-BY,https://ncsslabdatamart.sc.egov.usda.gov/datause.aspx,https://doi.org/10.2136/sssaj2019.06.0205,0.58748,13.58879,0.93749
42,162b3559316de7b2dc7ac29c3e59a718,KSSL.SSL,162b3559316de7b2dc7ac29c3e59a718,207774XS,Bruker Vertex 70 with HTS-XT accessory,Bruker_Vertex_70.HTS.XT,XS: finely ground <80 mesh,CC-BY,https://ncsslabdatamart.sc.egov.usda.gov/datause.aspx,https://doi.org/10.2136/sssaj2019.06.0205,0.04864,3.3208,0.21139
43,bb4c7754e2857cd8e7b6fea4c3f2e3b4,LUCAS.WOODWELL.SSL,bb4c7754e2857cd8e7b6fea4c3f2e3b4,11168,Bruker Vertex 70 with with PikeAutoDiff accessory,Bruker_Vertex_70.PikeAutoDiff,,CC-BY,https://creativecommons.org/licenses/by/4.0/,https://doi.org/10.3390/s20236729,0.17,0.0,1.33612972530564
44,4398ab81f3375b3c43861282040717d5,KSSL.SSL,4398ab81f3375b3c43861282040717d5,66570XS,Bruker Vertex 70 with HTS-XT accessory,Bruker_Vertex_70.HTS.XT,XS: finely ground <80 mesh,CC-BY,https://ncsslabdatamart.sc.egov.usda.gov/datause.aspx,https://doi.org/10.2136/sssaj2019.06.0205,0.03458,2.80889,0.02356
45,65751894b2651a4ea9150d001b6b269a,KSSL.SSL,65751894b2651a4ea9150d001b6b269a,226650XS,Bruker Vertex 70 with HTS-XT accessory,Bruker_Vertex_70.HTS.XT,XS: finely ground <80 mesh,CC-BY,https://ncsslabdatamart.sc.egov.usda.gov/datause.aspx,https://doi.org/10.2136/sssaj2019.06.0205,1.23418,7.39982,0.46026
46,54b1112b81624617cbf716aa39370252,LUCAS.WOODWELL.SSL,54b1112b81624617cbf716aa39370252,11727,Bruker Vertex 70 with with PikeAutoDiff accessory,Bruker_Vertex_70.PikeAutoDiff,,CC-BY,https://creativecommons.org/licenses/by/4.0/,https://doi.org/10.3390/s20236729,0.08,0.0,0.503862090132488
