target,budget,repeat,fold,model,preprocessing,mae,rmse,r2,rpiq,baseline_rmse,rmse_improvement_pct
P,120,2,5,PCA 95% + Ridge,SNV,12.479851238243322,18.38495811972762,-0.7818925254315852,0.7633794925505073,14.042526086450165,-30.92343931956467
K,120,1,1,PLS (10 komponen),SNV,0.8056847225091112,1.2268226462012428,-0.1534634832340196,0.3006929609007891,1.1589076900122686,-5.860255892188901
K,120,1,2,PLS (5 komponen),SG derivative,0.9270349350867623,1.3968305593642754,0.28197587195373186,1.0022860473168684,1.8438307810072179,24.243017648222715
K,120,1,3,PLS (2 komponen),SG derivative,0.8896107785782146,1.2836170186889415,0.24784639001776176,1.1935266270351714,1.6675276701993704,23.0227454915053
K,120,1,4,PLS (10 komponen),SNV,1.6475244529300783,3.646023596142325,0.08865489222665501,0.39820690838171147,4.120640831905059,11.518044283012866
K,120,1,5,PLS (5 komponen),SG derivative,0.9938288856604783,1.5897229806494197,-0.36439903647084493,0.8383866347931481,1.625009413590324,2.1714602171406323
K,120,2,1,PCA 95% + Ridge,SNV,1.2852348515615342,2.5185852738558,0.08484139488892695,0.2745817293457242,2.769212697148184,9.05049379379516
K,120,2,2,PLS (10 komponen),SNV,0.7190728315695942,0.9950861905065674,0.1678443808255219,0.5611788663910763,1.1268150240648127,11.690368937667664
K,120,2,3,PLS (5 komponen),SG derivative,1.7790942710513205,3.4201733378785666,-0.20066568379950445,0.6720756202074444,3.642538604984047,6.104678391087477
K,120,2,4,PLS (5 komponen),SG derivative,0.5599400485407181,1.0694230707791523,0.4303708635667215,1.0464617884930558,1.5060162145116613,28.989936464533887
K,120,2,5,PLS (5 komponen),SG derivative,1.142114369335123,1.6187387478915702,-0.15793944593237108,0.8346189289406554,1.6423709148855785,1.4389055955520675
N,180,1,1,PLS (10 komponen),SG derivative,0.15452672986350088,0.28633696902523537,0.8024391797558164,1.155701274364036,0.6916219281567669,58.59920610262481
N,180,1,2,PLS (10 komponen),SNV,0.10543872384662419,0.16974431584403663,0.8997281737298508,2.635036689010365,0.576821378415556,70.57246451053886
N,180,1,3,PLS (10 komponen),SNV,0.17644165429395017,0.27969425110921037,0.7902283893168511,1.3426178711602201,0.650985442184471,57.035252559464624
N,180,1,4,PLS (10 komponen),SNV,0.17611971627837714,0.2961259519056382,0.837820828280049,1.5733085769816633,0.8351058963933787,64.54031121268154
N,180,1,5,PLS (10 komponen),SG derivative,0.1626383018529336,0.31782486108305985,0.773872733924851,1.9262338317832453,0.746426566991598,57.42047843178693
N,180,2,1,PLS (10 komponen),SNV,0.10421767688055501,0.16558163838754797,0.9129678426227774,1.0859144875662847,0.5748050833718354,71.1934283155191
N,180,2,2,PLS (10 komponen),SNV,0.16455260998005294,0.250680443889972,0.8664241697091196,1.787315328820204,0.7470249519575783,66.44282855170178
N,180,2,3,PLS (10 komponen),SG derivative,0.10094241548210713,0.15136494486687177,0.8507872023656254,1.68574368539836,0.4256962692786698,64.4429712472333
N,180,2,4,PLS (10 komponen),SG derivative,0.258042525010913,0.4547863871576599,0.5284509501803,1.6365320533263554,0.7484546924085071,39.23661755741427
N,180,2,5,PLS (10 komponen),SNV,0.20222414841172368,0.35291823175339987,0.8044105064086293,2.2521718304295084,0.9243001262531921,61.81778821301108
P,180,1,1,PLS (5 komponen),SNV,18.032862975482654,30.21884331430906,-0.21680405409384296,0.6681602531900768,30.250128050293444,0.10342017703982005
P,180,1,2,PLS (2 komponen),SNV,15.368655243826408,33.96499959173723,-0.09693026363951018,0.4511517057025892,34.3069708707689,0.9967982318224519
P,180,1,3,PLS (2 komponen),SNV,14.038282126819983,22.58877110790074,-0.20114552215202242,1.0412796423340231,23.760761708218833,4.932462244729731
P,180,1,4,PLS (5 komponen),SNV,6.451061400548669,8.525327336313623,0.41367534636682524,1.1946840394757272,11.248716642473275,24.21066680510547
P,180,1,5,PLS (5 komponen),SNV,15.291729201758317,24.781366173547024,-0.25683906728505446,0.9137949595439413,25.108671899010805,1.303556503427309
P,180,2,1,PCA 95% + Ridge,SNV,8.962272403769372,15.57876220329719,0.03919279800205666,1.0920500151417232,16.732583239013543,6.895653941981381
P,180,2,2,PLS (2 komponen),SNV,21.6313340939695,39.139901001030395,-0.20917275063522234,1.0062622539327104,40.10049235517948,2.3954602493179
P,180,2,3,PCA 95% + Ridge,SNV,12.100532666596605,22.15407419365518,-0.13524612836619143,0.6624902206115831,23.116163587613748,4.161976922823304
P,180,2,4,PLS (5 komponen),SNV,13.236243566842468,20.485550230912743,-0.38074257427558833,0.7062964588935472,18.504449957966433,-10.706074903314908
P,180,2,5,PLS (2 komponen),SNV,14.077051394348969,24.570308375443954,-0.07312959678296993,0.8226388407969986,25.459479381759042,3.492494850276289
K,180,1,1,PLS (5 komponen),SG derivative,0.5976325533132825,0.8880984469893517,0.3108855751370624,0.7523972162244474,1.116111083405019,20.429206358210234
K,180,1,2,PLS (10 komponen),SG derivative,0.7440041527239597,1.1828542590999782,0.042490150811340555,0.5346981634755578,1.2378774138601372,4.444959908314137
K,180,1,3,PLS (10 komponen),SG derivative,1.238467866501985,2.21766658544274,0.21663304547545204,1.1615903025772998,2.9421086257266738,24.623225463166005
K,180,1,4,PLS (10 komponen),SG derivative,0.6463269228029357,0.8807682686694605,-0.09938427571617181,1.5909491177705808,0.9615962413172957,8.405604054473903
K,180,1,5,PLS (10 komponen),SNV,1.294735128264284,2.6948092138424684,0.09295188389006803,0.5988759610354903,3.072418483620291,12.290294170242005
K,180,2,1,PLS (5 komponen),SG derivative,1.2134686050803971,3.0453123130155397,0.07712461772114931,0.45927024078004003,3.3738318699273777,9.737282993859129
K,180,2,2,PLS (2 komponen),SG derivative,0.9355499811144067,1.3619777676960183,0.1374980857036181,1.569883723383798,1.7623160513261071,22.716599745479385
K,180,2,3,PLS (10 komponen),SNV,0.6871277846837361,0.9618714591316136,-0.4277892950978759,0.7929804558926183,0.8484684500111381,-13.365612960503933
K,180,2,4,PLS (5 komponen),SG derivative,0.8242773212554791,1.424921630090137,0.32895040801721653,0.8063285677428782,1.869107281786251,23.764588369246454
K,180,2,5,PLS (10 komponen),SG derivative,0.7935329968561857,1.251696016066852,0.3532895545045771,1.1739451760957904,1.7073007481930085,26.68567518689161
N,240,1,1,PLS (10 komponen),SNV,0.16124868872440415,0.2827481808954357,0.7656797344176804,1.15309318336719,0.625093962057851,54.767091340218705
N,240,1,2,PLS (10 komponen),SNV,0.1334746302427312,0.20221002512272862,0.8920795195896899,1.7907000396257795,0.6589564844190157,69.31359962243762
N,240,1,3,PLS (10 komponen),SG derivative,0.129702189064011,0.20437453610912704,0.8870085463943959,0.9820083451728855,0.6376666221728515,67.94962618355027
N,240,1,4,PLS (10 komponen),SNV,0.17036838707772517,0.2705203871083922,0.8410927326833327,3.3279099945960096,0.7633695205910916,64.5623279668118
N,240,1,5,PLS (10 komponen),SNV,0.15056002484663084,0.25940404645756404,0.8688304265172065,1.8488821070817762,0.8116903067839873,68.04150002907471
N,240,2,1,PLS (10 komponen),SNV,0.1823946669327504,0.29142967788354374,0.7449470885380125,1.917332181327412,0.6493559906907966,55.120198772091776
N,240,2,2,PLS (10 komponen),SNV,0.12351455344806567,0.20207438519987103,0.8557351225862597,1.8563708588249084,0.5814368200653355,65.24568478873351
N,240,2,3,PLS (5 komponen),SG derivative,0.1491095094557444,0.2875649641762084,0.8472795323176592,1.2895260069748091,0.7906262726551023,63.628205370598174
N,240,2,4,PLS (10 komponen),SNV,0.14287001495505533,0.22414503190404353,0.8949078684375905,1.3127884098094602,0.7360871544082418,69.54911785082852
N,240,2,5,PLS (10 komponen),SG derivative,0.1504951636668436,0.24366778574898662,0.8680948987132209,1.6321505067957223,0.7383946002928696,67.00032941027187
P,240,1,1,PLS (5 komponen),SG derivative,13.009972858483414,18.88791302223948,-0.4576695789412222,0.7855542315622526,17.498986403504315,-7.937183255694296
P,240,1,2,PLS (5 komponen),SNV,14.281540850205074,23.378362106637493,-0.13344292902122334,1.0038591408992203,25.2470488562233,7.401604679531424
P,240,1,3,PLS (10 komponen),SG derivative,13.473104336668877,22.96982516416123,-0.304489126922479,0.44158498932877654,20.610192428961092,-11.44886319394292
P,240,1,4,PLS (5 komponen),SG derivative,18.317963303578313,38.91985885272047,-0.09146591759839717,0.5651406672165398,40.55607139524463,4.034445364735226
P,240,1,5,PLS (10 komponen),SNV,10.739138717176436,17.795192643711108,0.0347020833254873,0.9778128199218656,19.678449354469706,9.57014791580029
