family,target,budget,repeat,fold,model,preprocessing,fit_seconds,model_bytes,mae,rmse,r2,rpiq,baseline_rmse,rmse_improvement_pct,best_epoch,validation_loss,parameters,device
PLS–RBF-SVR,K,300,1,5,PLS–RBF-SVR,SNV + latent scores,0.018640041002072394,550302,0.7092645426565463,0.9676872560996259,0.2584947036066281,1.4908981549237217,1.2353893522394117,21.66945146924875,,,,
PLS–Cubist,N,300,1,1,PLS–Cubist,SNV + latent scores,0.06804337500943802,577940,0.11821633681917615,0.24885515840668726,0.841986264735876,1.1755030591808666,0.6680419615868559,62.74857378486214,,,,
PLS–Cubist,N,300,1,2,PLS–Cubist,SNV + latent scores,0.06352229201002046,580097,0.13337113627903693,0.22233321672185002,0.9125279979389436,2.225825755128229,0.8291878893090916,73.18663000407473,,,,
PLS–Cubist,N,300,1,3,PLS–Cubist,SNV + latent scores,0.045891249988926575,577576,0.10841554240091363,0.18107528606464846,0.9489280435793027,2.061476792955217,0.881276691103859,79.45307212904503,,,,
PLS–Cubist,N,300,1,4,PLS–Cubist,SNV + latent scores,0.06595637497957796,574175,0.10489916949540978,0.1696525410704957,0.8794787287747826,2.0046413561155054,0.5213985372112638,67.46202204979437,,,,
PLS–Cubist,N,300,1,5,PLS–Cubist,SNV + latent scores,0.04748083298909478,577632,0.10484951734305473,0.16947667069363337,0.9256280520290844,2.4212034513102747,0.6828521291514487,75.1810584666061,,,,
PLS–Cubist,P,300,1,1,PLS–Cubist,SNV + latent scores,0.04556491700350307,569150,13.692437661402275,22.770312359654053,-0.28097559275320805,0.8627291993232525,22.526477636302914,-1.0824360882687794,,,,
PLS–Cubist,P,300,1,2,PLS–Cubist,SNV + latent scores,0.047312416980275884,570244,11.667176630477055,20.191035477873726,0.0748060227080285,0.6826535724284463,23.12186962055922,12.675593240433686,,,,
PLS–Cubist,P,300,1,3,PLS–Cubist,SNV + latent scores,0.04676104200189002,569855,12.593915443333698,23.330513339565925,-0.08952794750502946,0.6948099368439185,24.563418800971696,5.019274684015072,,,,
PLS–Cubist,P,300,1,4,PLS–Cubist,SNV + latent scores,0.04671791699365713,569586,12.527720474146404,23.289757667439538,-0.022483105764671052,0.7863196887446765,25.28724986217221,7.899206934799056,,,,
PLS–Cubist,P,300,1,5,PLS–Cubist,SNV + latent scores,0.04625929199391976,571529,10.059112516403026,20.547024717208842,0.35114113785161205,0.41026244023251984,26.082682169643615,21.223497707906205,,,,
PLS–Cubist,K,300,1,1,PLS–Cubist,SNV + latent scores,0.045819499995559454,574690,0.580657950320587,0.9124456670738057,-0.07034416796383325,1.0123806090066434,0.9641801044924795,5.365640421081444,,,,
PLS–Cubist,K,300,1,2,PLS–Cubist,SNV + latent scores,0.04844770798808895,576146,0.6448483052753211,1.104231171875282,0.5362688754811891,1.137882974881909,1.7944552577890898,38.464268357641764,,,,
PLS–Cubist,K,300,1,3,PLS–Cubist,SNV + latent scores,0.045063541998388246,570468,0.9066007976095386,2.1106772357606713,0.05414143412566863,0.4469205352755134,2.2750770789443266,7.226121906161508,,,,
PLS–Cubist,K,300,1,4,PLS–Cubist,SNV + latent scores,0.046033166989218444,570861,0.8693487725160264,1.7506718142012985,0.19571094364335795,0.6126048738034353,2.0794238673225656,15.809766266872911,,,,
