family,target,budget,n_folds,model_bytes_median,mae_median,mae_q025,mae_q975,rmse_median,rmse_q025,rmse_q975,r2_median,r2_q025,r2_q975,rpiq_median,rpiq_q025,rpiq_q975,baseline_rmse_median,baseline_rmse_q025,baseline_rmse_q975,rmse_improvement_pct_median,rmse_improvement_pct_q025,rmse_improvement_pct_q975,fit_seconds_median,fit_seconds_q025,fit_seconds_q975
PLS–Cubist,N,60,5,522161.0,0.19323552313138756,0.1332225603607801,0.24513171054118277,0.29256269436107823,0.15999263176681439,0.3949582183668948,0.8732657051993167,0.48050680606016133,0.8937568439529433,1.5233486995780534,0.957377730836207,2.798886388390079,0.814515361273193,0.4405009789335883,1.161871842778146,68.09725772043119,34.963504320045814,71.91588343367033,0.013418334012385458,0.013001187506597489,0.02168135060346685
PLS–Cubist,N,120,5,537601.0,0.1529234722759292,0.13925213023585162,0.22394508133092134,0.24264237948832118,0.1935612772147255,0.36354408580296244,0.8163231492489288,0.7910820515110877,0.8883163640130318,1.0095543230125235,0.59061037547725,2.3720150248932867,0.7145803969113622,0.46395898467337815,0.9855363399675784,62.86510483312713,57.25958338390239,69.79576074127682,0.020983666996471584,0.01940446251537651,0.03525049998424947
PLS–Cubist,N,180,5,548349.0,0.15819826128987177,0.09970494888627632,0.17495749862720497,0.2737350329779189,0.14789592991839162,0.3637424270916246,0.8531053316447658,0.6998321251620784,0.9269934765349093,1.641986168821579,1.3813670258369675,3.0558626982525574,0.6916219281567669,0.5842377847924475,0.8262379634532007,66.25259393388696,50.839570238796746,75.00928628730372,0.03775229200255126,0.0312069163977867,0.05207392049778718
PLS–Cubist,N,240,5,567128.0,0.12700963198818424,0.09772754245539862,0.15369893394224002,0.22295896194392417,0.17291659940138643,0.30047131804182176,0.9019918209985031,0.7396245238030994,0.9208660268066219,2.1177717487791186,1.0556624471946532,3.3970742947018695,0.6589564844190157,0.6263512280693511,0.8068582281646978,70.15019754152196,52.669692883199254,73.90071855560089,0.036746958998264745,0.03605724198860116,0.05117027108208276
PLS–Cubist,N,300,5,577632.0,0.10841554240091363,0.10485448255829023,0.13185565633305085,0.18107528606464846,0.1694942577313196,0.24620296423820354,0.9125279979389436,0.8457355111397666,0.9465980444242809,2.061476792955217,1.2584168888743306,2.4016656816920703,0.6828521291514487,0.536062879648823,0.8760678109243822,73.18663000407473,63.21991861135536,79.02587076280113,0.06352229201002046,0.04605020828894339,0.06783467500645202
PLS–Cubist,N,1000,5,730626.0,0.10450434503781096,0.08080667107527859,0.11676587482661252,0.18215764308337334,0.14515914084524473,0.24729556205667733,0.9108868079946533,0.8135527079184476,0.9556977753491667,2.3406610302624604,1.2431992529352554,2.5297898274153887,0.7293768163776964,0.6048841161613326,0.8710164003582712,72.43327391188109,59.52255238470849,80.68209092601305,0.17618829201092012,0.17309520858980249,0.19654389998177066
PLS–Cubist,P,60,5,519606.0,12.48232452255836,6.68666861773863,19.638753404660974,18.31536733470007,8.754991320932913,34.94166223998695,0.07590706264123526,-1.5551488921694507,0.28032306341337637,0.9167442909781263,0.48319687934054106,1.0442825913558107,24.156710923220352,9.166385318863242,37.50793050381182,11.856503322513307,-52.543041582181694,28.57116450467931,0.012524084013421088,0.01193521250388585,0.014044324989663437
PLS–Cubist,P,120,5,535282.0,14.912062856476497,7.665087329825428,21.6393935410223,23.26385354598511,12.548280465535692,36.223390770445484,-0.17489324340780898,-3.686053561935302,0.05495106403803915,0.6950918500254536,0.4166485847650759,1.0571680310240417,19.76847331360908,13.142889179329364,36.86941147841375,5.609139987351289,-104.49847111259123,6.970000167943295,0.02044454199494794,0.019713349404628388,0.02183551191701554
PLS–Cubist,P,180,5,546436.0,15.422161541710405,12.842920869481276,18.404586615069256,25.459227602346864,18.900961322774158,31.29536360583228,-0.06100774626523009,-1.725412611877398,0.14538044087980168,0.7155363213893914,0.48980735715648654,1.2070457950995188,25.108671899010805,12.49992114904783,33.901286588721355,6.717629738590961,-61.33597133419293,19.064122745679338,0.037192707997746766,0.02885946218739264,0.056571487212204376
PLS–Cubist,P,240,5,560082.0,13.823684215701398,11.868503849530835,17.094478205477053,22.152952537502724,18.41169593766914,33.24968352324581,-0.017735044719203952,-0.6424421047601455,0.16212334528705957,0.7437689354646927,0.5603314097930615,1.033351968488152,20.610192428961092,17.716932698600854,39.025169141342495,10.752118058631417,-17.608871045945435,15.00957106540036,0.037457583006471395,0.035629242315189914,0.03857886219921056
PLS–Cubist,P,300,5,569855.0,12.527720474146404,10.21991892781043,13.582585439595418,22.770312359654053,20.22663440180724,23.326437772353287,-0.022483105764671052,-0.2618308282283902,0.32350762633725366,0.6948099368439185,0.4375015534521125,0.855088248265395,24.563418800971696,22.586016834728547,26.003138938896473,7.899206934799056,-0.4722650110403941,20.368707261158953,0.04671791699365713,0.04563435450254474,0.0472572794824373
PLS–Cubist,P,1000,5,709632.0,12.988140549304681,11.441496688626911,14.228242862673229,25.317977783079858,21.03260604230549,33.62935082241583,-0.022917782322843916,-0.047241814385116807,0.03868426510404227,0.6097004520762405,0.5137035871623086,0.7034914724390503,26.217029245656242,21.579038633902833,36.55725768673224,6.224316179423813,2.1630443064519653,8.206157927249556,0.18549783300841227,0.17945029971015175,0.2457546458055731
PLS–Extra Trees,K,60,5,1322632.0,1.004175196873122,0.7357420437280243,2.139227922542703,1.668545495347062,0.9488812066583481,4.0327741410347935,-0.09085659849592576,-0.7181283939053106,0.08735359331932,0.6389400646407138,0.127834456984392,1.7024493186358844,1.7422233128591942,0.8100439928862758,4.258075022548805,4.603549860595977,-28.476470454737168,17.572160804367766,0.09654008300276473,0.08616521279036533,0.10110323360131587
PLS–Extra Trees,K,120,5,1892368.0,0.8780505295718385,0.5492652068832692,1.5733673984483845,1.295031064993813,0.8128072750964733,3.4756840024863043,0.2301663142124466,0.07095321019267038,0.5201522635613492,0.9679718964417384,0.4012902115807082,1.1716592820972265,1.6675276701993704,1.2055178623700742,3.892959826815275,22.33825632176895,11.317610617316026,32.94861496489341,0.09939958300674334,0.09025463779980783,0.10146339200437068
PLS–Extra Trees,K,180,5,2465560.0,0.6023836411409756,0.5431943713162691,1.3346087454262308,1.0559891660007117,0.6916133455193312,2.7233990948982196,0.23686794009892886,0.041648605820762595,0.5556110649524638,0.9655346761825101,0.5874365494708598,1.928543120941063,1.2378774138601372,0.977047725526068,3.059387497830929,16.572908238232824,10.817988194395713,37.002856115884974,0.1112221670045983,0.10434040358231869,0.12004271671175956
PLS–Extra Trees,K,240,5,3038754.0,0.8024786180957756,0.6245655889979262,0.9348650179646301,1.2056240809518364,0.9718014601945411,2.1698588177844242,0.28058003658806363,0.050956076222644954,0.4506180134264901,0.7441102920519952,0.45956595590012683,1.2969760267150132,1.6445064057924157,1.3565737456804083,2.3979313097170305,23.618209570940262,7.6986083422952785,31.09014891831271,0.11634929201682098,0.10372605829907115,0.1216687959007686
PLS–Extra Trees,K,300,5,3613980.0,0.7190370568611253,0.5172233795899924,0.9190530268946575,1.310877794856327,0.7332252521108877,2.1049535349910355,0.34363508212596927,0.04079953694760717,0.34636150553120854,0.9585072351831956,0.45640074378275775,1.5556419512008353,1.7944552577890898,0.9913010292671727,2.2555117577821506,25.995683009105356,6.72945980059429,26.88393662222983,0.11029770798631944,0.10347792981483508,0.12175390889169649
PLS–Extra Trees,K,1000,5,10299231.0,0.6015253854989321,0.5457192439630688,0.7853287041359601,1.0455794189132428,0.962789469500149,1.9127247153723315,0.3670603934698503,0.2705436136962018,0.47822230372236574,0.9223978893907483,0.5893598322657443,1.071605368397162,1.4706884680181938,1.2668658553636363,2.381657945663552,25.519151378209077,19.570340738697144,33.46849896105568,0.22412887500831857,0.20243790409294887,0.22948328369820956
PLS–Extra Trees,N,60,5,1323928.0,0.27517902884054146,0.14315351226267964,0.3492154512247142,0.42329619010179337,0.17458016036003443,0.6857753930582489,0.6208124024264462,0.5224521578948155,0.8236346603918683,1.3446110344394937,0.7143109010041622,2.0440435577915967,0.814515361273193,0.4405009789335883,1.161871842778146,44.263978250993354,37.314616779939975,62.64732637940456,0.10017966598388739,0.09652534550987184,0.10362402497557924
PLS–Extra Trees,N,120,5,1897120.0,0.1737533863853057,0.1154663566897169,0.33909806433132045,0.28087511574414314,0.19259400378712047,0.598577348993554,0.8024670728892712,0.45011028017722216,0.8803824240664798,1.297410209017055,0.4507074704459502,1.455862522605025,0.7145803969113622,0.46395898467337815,0.9855363399675784,56.8784884497274,39.587385286576094,67.81165591389971,0.1063913750112988,0.0958186328120064,0.11088552967703436
PLS–Extra Trees,N,180,5,2465560.0,0.16929407504383323,0.16635644641709516,0.1991502166324213,0.29437050956802957,0.2499654934688534,0.39910914228438255,0.7892508364665833,0.6179262916814814,0.8163453515909908,1.4113242206279162,0.8597363261632609,2.1159071525227695,0.6916219281567669,0.5842377847924475,0.8262379634532007,57.33739605024399,42.54485662331474,61.698778155769496,0.12282237500767224,0.10753398329252377,0.1716999785916414
