target,budget,repeat,fold,model,preprocessing,best_epoch,validation_loss,parameters,device,mae,rmse,r2,rpiq,baseline_rmse,rmse_improvement_pct
P,240,1,5,Patch transformer,SNV + patches(16),53,0.6116118431091309,108803,mps,12.881007442789079,20.115815669599343,-0.23347762476951495,0.8650092934733364,19.678449354469706,-2.2225649351293773
K,240,1,5,Patch transformer,SNV + patches(16),53,0.6116118431091309,108803,mps,1.0546056656320142,1.4481647155946344,-0.03799337259614721,1.0810993964572195,1.578418199127671,8.252152921514867
N,300,1,1,Patch transformer,SNV + patches(16),30,0.5526343435049057,108803,mps,0.1892520748380939,0.4096120525304844,0.57189825470088,0.7141635559618431,0.6680419615868559,38.68468208830795
P,300,1,1,Patch transformer,SNV + patches(16),30,0.5526343435049057,108803,mps,13.538901120609559,22.66421083803316,-0.26906562829393765,0.8667680287115391,22.526477636302914,-0.6114280446059597
K,300,1,1,Patch transformer,SNV + patches(16),30,0.5526343435049057,108803,mps,0.6148711988273479,0.9723357735652483,-0.2154635774879865,0.95002397857952,0.9641801044924795,-0.8458657293143079
N,300,1,2,Patch transformer,SNV + patches(16),35,0.5390739440917969,108803,mps,0.21547978152919428,0.3976635146546364,0.7201715562600037,1.2444566367366896,0.8291878893090916,52.041808644120024
P,300,1,2,Patch transformer,SNV + patches(16),35,0.5390739440917969,108803,mps,12.645257770863624,21.99893460235582,-0.09829475738043625,0.6265522739689383,23.12186962055922,4.856592639917501
K,300,1,2,Patch transformer,SNV + patches(16),35,0.5390739440917969,108803,mps,0.9259323461031976,1.4905196987877285,0.15506815246362937,0.8429850687868863,1.7944552577890898,16.937483265859402
N,300,1,3,Patch transformer,SNV + patches(16),11,0.6410672068595886,108803,mps,0.3292356233551901,0.6166232804375853,0.40775149988649995,0.6053655641011493,0.881276691103859,30.030683137072113
P,300,1,3,Patch transformer,SNV + patches(16),11,0.6410672068595886,108803,mps,11.840725625649087,23.663713728961316,-0.12087089223081038,0.685026563694469,24.563418800971696,3.6627844002512777
K,300,1,3,Patch transformer,SNV + patches(16),11,0.6410672068595886,108803,mps,0.9773511697165443,2.1302363400745685,0.03653015363647394,0.4428170631841629,2.2750770789443266,6.366410184966859
N,300,1,4,Patch transformer,SNV + patches(16),26,0.7429295480251312,108803,mps,0.1620881916970122,0.25385167611542553,0.7301620451819937,1.3397291883365823,0.5213985372112638,51.3133125625613
P,300,1,4,Patch transformer,SNV + patches(16),26,0.7429295480251312,108803,mps,13.991615044143266,24.363694662052083,-0.11895468189251934,0.7516591902017185,25.28724986217221,3.652256394641376
K,300,1,4,Patch transformer,SNV + patches(16),26,0.7429295480251312,108803,mps,1.1945016520381309,1.8796544499348302,0.07283140130006671,0.5705676837820917,2.0794238673225656,9.606959914572654
N,300,1,5,Patch transformer,SNV + patches(16),30,0.5523735210299492,108803,mps,0.14689941038864235,0.23084211510901045,0.8620189648007289,1.7775677536407364,0.6828521291514487,66.19442112659617
P,300,1,5,Patch transformer,SNV + patches(16),30,0.5523735210299492,108803,mps,10.915834282622336,25.259869252174546,0.01934883087766881,0.33371797834125033,26.082682169643615,3.154633070776368
K,300,1,5,Patch transformer,SNV + patches(16),30,0.5523735210299492,108803,mps,0.6471203775529915,0.9384900132328697,0.30256534212928476,1.53728129689127,1.2353893522394117,24.032855590696762
N,1000,1,1,Patch transformer,SNV + patches(16),26,0.5748089104890823,108803,mps,0.17714945772346447,0.3408574811073268,0.8151838161173766,1.2508726378678428,0.8855742187759887,61.51000403123199
P,1000,1,1,Patch transformer,SNV + patches(16),26,0.5748089104890823,108803,mps,13.97065317309976,29.789704139448556,-0.07774031717849406,0.6124864740171418,31.208402111471617,4.545884685014279
K,1000,1,1,Patch transformer,SNV + patches(16),26,0.5748089104890823,108803,mps,0.9236838473131884,2.1827658118718,0.10639133510841281,0.5088108829447021,2.4501811160121134,10.914103549028884
N,1000,1,2,Patch transformer,SNV + patches(16),63,0.5352555364370346,108803,mps,0.12180989492336511,0.23601801036813455,0.8291134740428594,1.8452723134166393,0.6211152100995435,62.000928888811316
P,1000,1,2,Patch transformer,SNV + patches(16),63,0.5352555364370346,108803,mps,13.173833340922068,24.75462373459835,-0.04237206458005072,0.7051419034741073,26.18496014302382,5.4624349268163295
K,1000,1,2,Patch transformer,SNV + patches(16),63,0.5352555364370346,108803,mps,0.676826979200174,1.0461861748499393,0.39465094470478956,0.9972221245894822,1.4645917727481987,28.56806966170185
N,1000,1,3,Patch transformer,SNV + patches(16),29,0.5067124962806702,108803,mps,0.1662729475056603,0.31036825700079745,0.787664649704525,1.271562059257194,0.7293768163776964,57.44747433265302
P,1000,1,3,Patch transformer,SNV + patches(16),29,0.5067124962806702,108803,mps,9.75854153470643,20.776713729015405,-0.06346808531713233,0.5770691244234697,21.067269577333835,1.3791813279450202
K,1000,1,3,Patch transformer,SNV + patches(16),29,0.5067124962806702,108803,mps,0.8084485538739122,1.5027437802769184,0.17286119828772029,0.806882394666481,1.7649494125265002,14.856268989275913
N,1000,1,4,Patch transformer,SNV + patches(16),35,0.5009269118309021,108803,mps,0.11814942173924797,0.21093085025793262,0.9042220831075601,1.7044566954542921,0.7399960345988137,71.49567830153468
P,1000,1,4,Patch transformer,SNV + patches(16),35,0.5009269118309021,108803,mps,15.251476016070113,36.26335571004005,-0.07748433755544881,0.4772103177205077,37.15157497287231,2.3907984075529147
K,1000,1,4,Patch transformer,SNV + patches(16),35,0.5009269118309021,108803,mps,0.6774669683390335,1.118721654491571,0.07789621720992357,0.8653582382294847,1.2448963089875738,10.135354533954377
N,1000,1,5,Patch transformer,SNV + patches(16),17,0.5614126473665237,108803,mps,0.14571010115106373,0.28511262882884175,0.7489328881752156,1.029908780983102,0.6030806612793093,52.72396428298081
P,1000,1,5,Patch transformer,SNV + patches(16),17,0.5614126473665237,108803,mps,12.026295843016678,25.301700938531773,-0.021602944163457982,0.6100926786503925,26.217029245656242,3.4913502157233336
K,1000,1,5,Patch transformer,SNV + patches(16),17,0.5614126473665237,108803,mps,0.7381597687181164,1.212597011828852,0.2424091099049469,0.7271294514161699,1.4706884680181938,17.54902291014285
